Country,CPI_Rank_2015,CPI_Score_2015,RSF_Rank_2016,RSF_Abuse_2016,RSF_Underlying_Situation_Score_2016,RSF_Global_Score_2016,,,,
Niger,99,34,52,27.08,24.01,24.62,,,,
Nigeria,136,26,116,52.93,31.65,35.9,,,,
North Korea,167,8,179,55.95,83.76,83.76,,,,
Northern Cyprus,NA,NA,81,0,29.54,29.54,,,,
Norway,5,87,3,0,8.79,8.79,,,,
OECS,NA,NA,30,0,18.91,18.91,,,,
Oman,60,45,125,31.35,40.43,40.43,,,,
Pakistan,154,18,147,54.97,46.91,48.52,,,,
Palestine,NA,NA,132,60.45,38.55,42.93,,,,
Panama,72,39,91,0,30.59,30.59,,,,
Papua New Guinea,139,25,55,6.93,25.81,25.81,,,,
Paraguay,119,29,111,0,33.63,33.63,,,,
Peru,88,36,84,48.6,25.34,29.99,,,,
Philippines,88,36,138,63.1,40.05,44.66,,,,
Poland,30,62,47,45.22,18.56,23.89,,,,
Portugal,28,63,23,0,17.27,17.27,,,,
Qatar,22,71,117,6.93,35.97,35.97,,,,
Republic of the Congo,147,22,115,55.13,31.02,35.84,,,,
Romania,58,46,49,17.92,24.29,24.29,,,,
Russia,117,30,148,51.06,48.53,49.03,,,,
Rwanda,44,54,161,0,54.61,54.61,,,,
Samoa,NA,NA,29,0,18.8,18.8,,,,
Sao Tome and Principe,66,42,NA,NA,NA,NA,,,,
Saudi Arabia,48,52,165,57.2,59.72,59.72,,,,
Senegal,61,44,65,17.92,27.99,27.99,,,,
Serbia,71,40,59,31.35,26.66,27.6,,,,
Seychelles,40,55,92,0,30.6,30.6,,,,
Sierra Leone,130,27,83,10.99,29.94,29.94,,,,
Singapore,8,85,154,0,52.96,52.96,,,,
Slovakia,50,51,12,0,13.26,13.26,,,,
Slovenia,35,60,40,0,22.26,22.26,,,,
Somalia,167,8,167,60.26,65.35,65.35,,,,
South Africa,61,44,39,16.09,21.92,21.92,,,,
South Korea,37,56,70,0,28.58,28.58,,,,
South Sudan,163,15,140,52.42,40.32,44.87,,,,
Spain,36,58,34,6.93,19.92,19.92,,,,
Sri Lanka,83,37,141,47.45,44.34,44.96,,,,
Sudan,164,12,174,24.85,72.53,72.53,,,,
Surinam,88,36,22,0,16.7,16.7,,,,
Swaziland,NA,NA,153,0,52.37,52.37,,,,
Sweden,3,89,8,0,12.33,12.33,,,,
Switzerland,7,86,7,0,11.76,11.76,,,,
Syria,154,18,177,84.36,80.6,81.35,,,,
Taiwan,30,62,51,0,24.37,24.37,,,,
Tajikistan,136,26,150,13.86,50.34,50.34,,,,
Tanzania,117,30,71,0,28.65,28.65,,,,
Thailand,45,53,136,50.04,43.15,44.53,,,,
Togo,107,32,88,0,30.31,30.31,,,,
Tonga,NA,NA,37,0,21.24,21.24,,,,
Trinidad and Tobago,76,38,44,0,23.29,23.29,,,,
Tunisia,76,38,96,27.73,31.6,31.6,,,,
Turkey,69,41,151,61.92,47.97,50.76,,,,
Turkmenistan,119,29,178,29.44,83.44,83.44,,,,
Uganda,139,25,102,31.35,32.58,32.58,,,,
Ukraine,123,28,107,55.8,27.21,32.93,,,,
United Arab Emirates,23,70,119,0,36.73,36.73,,,,
United Kingdom,10,81,38,0,21.7,21.7,,,,
United States,16,76,41,13.86,22.49,22.49,,,,
Uruguay,21,74,20,0,15.88,15.88,,,,
Uzbekistan,107,32,166,67,59.68,61.15,,,,
Venezuela,158,17,139,32.19,44.77,44.77,,,,
Vietnam,112,31,175,66.81,74.27,74.27,,,,
Yemen,154,18,170,73.88,65.37,67.07,,,,
Zambia,130,27,114,31.35,35.08,35.08,,,,
Zimbabwe,150,21,124,26.39,40.41,40.41,,,,
